,聲韻,,聲調,字元,字數,,,,,,
402,zəʔ,,陽入1,"涉, 蟄, 十, 什, 拾, 入, 蜇, 折, 舌, 姪, 秩, 實, 日, 朮, 術, 述, 賊, 直, 值, 食, 蝕, 殖, 澤, 擇, 擲, 哉, 躑",27,,,,,,
457,ʥioʔ,,陽入1,"拙, 倔, 屐, 軸, 局, 崛, 撅, 䞷",8,,,,,,
458,ʥiɪʔ,,陽入1,"及, 傑, 極, 劇, 竭, 笈, 桀",7,,,,,,
459,ʥyɪʔ,,陽入1,"掘, 倔, 屐, 軸, 局, 崛, 撅, 䞷",8,,,,,,
474,ȵiaʔ,,陽入1,"捏, 虐, 瘧, 箬",4,,,,,,
475,ȵioʔ,,陽入1,"月, 肉, 褥, 玉, 縟",5,,,,,,
476,ȵiɪʔ,,陽入1,"聶, 鑷, 躡, 業, 熱, 孽, 日, 匿, 逆, 溺, 齧, 涅, 鎳, 蘖",14,,,,,,
477,ȵyɪʔ,,陽入1,月,1,,,,,,
508,ʑiaʔ,,陽入1,嚼,1,,,,,,
509,ʑiɪʔ,,陽入1,"藉, 捷, 集, 習, 襲, 截, 絕, 疾, 籍, 席, 夕, 寂, 睫, 蒺, 矽",15,,,,,,
589,ɡaʔ,,陽入1,軋,1,,,,,,
590,ɡoʔ,,陽入1,擱,1,,,,,,
591,ɡəʔ,,陽入1,"個, 搿",2,,,,,,
602,ŋaʔ,,陽入1,"額, 齾",2,,,,,,
603,ŋoʔ,,陽入1,"鄂, 鶴, 瘧, 嶽, 岳, 愕, 齶, 鱷, 萼",9,,,,,,
604,ŋəʔ,,陽入1,"杌, 核, 扼, 軛, 厄, 兀",6,,,,,,
668,ɦaʔ,,陽入1,"盒, 狹, 匣, 狎",4,,,,,,
669,ɦiaʔ,,陽入1,"峽, 洽, 挾, 協, 樂, 藥, 鑰, 躍, 學, 俠",10,,,,,,
670,ɦuaʔ,,陽入1,"滑, 猾, 磆",3,,,,,,
671,ɦoʔ,,陽入1,"鑊, 學, 或, 惑, 斛",5,,,,,,
672,ɦioʔ,,陽入1,"悅, 閱, 月, 越, 曰, 粤, 穴, 嶽, 岳, 域, 疫, 役, 育, 獄, 欲, 慾, 浴, 煜, 毓, 聿, 鬻, 鉞",22,,,,,,
673,ɦəʔ,,陽入1,"合, 核, 闔, 劾, 閡",5,,,,,,
674,ɦuəʔ,,陽入1,"活, 核, 獲, 囫",4,,,,,,
675,ɦiɪʔ,,陽入1,"易, 葉, 頁, 逸, 翼, 亦, 譯, 液, 腋, 佚, 奕, 熠, 驛, 軼, 曳, 弈, 翌, 掖, 蜴, 弋, 繹",21,,,,,,
676,ɦyɪʔ,,陽入1,"悅, 閱, 月, 越, 曰, 粤, 穴, 嶽, 岳, 域, 疫, 役, 育, 獄, 欲, 慾, 煜, 毓, 聿, 鬻, 鉞",21,,,,,,
108,bi,,陽去13,"敝, 弊, 幣, 斃, 陛, 鐾, 皮, 疲, 脾, 被, 婢, 避, 琵, 痹, 肥, 便, 辨, 辯, 汴, 辮, 薇, 卞, 啤, 駢, 陂, 弁, 坒, 鮍",28,,,,,,
109,bu,,陽去13,"婆, 薄, 蒲, 菩, 脯, 部, 簿, 步, 捕, 埠, 伏, 葡, 哺, 鄱, 匍, 䈬",16,,,,,,
110,ba,,陽去13,"爬, 琶, 排, 牌, 罷, 稗, 敗, 俳",8,,,,,,
111,bo,,陽去13,"爬, 琶, 杷, 耙, 扒, 䶕",6,,,,,,
112,bɔ,,陽去13,"袍, 抱, 暴, 菢, 跑, 刨, 鮑, 爆, 雹, 曝, 瀑, 咆, 爮",13,,,,,,
113,biɔ,,陽去13,"瓢, 嫖, 鰾, 剽",4,,,,,,
114,be,,陽去13,"培, 陪, 賠, 裴, 倍, 背, 佩, 焙, 被, 備, 疿, 瓣, 辦, 爿, 徘, 蓓, 掊",17,,,,,,
115,bø,,陽去13,"盤, 伴, 拌, 絆, 叛, 磐, 蟠, 槃, 瀊",9,,,,,,
116,bã,,陽去13,"蚌, 朋, 彭, 膨, 棚, 碰, 甏, 澎, 鵬, 硼, 蟛",11,,,,,,
117,bɑ̃,,陽去13,"滂, 旁, 螃, 傍, 防, 彷, 龐, 棒, 膀, 磅, 鳑",11,,,,,,
118,bəŋ,,陽去13,"盆, 笨, 坌",3,,,,,,
119,biŋ,,陽去13,"貧, 頻, 憑, 平, 坪, 評, 病, 瓶, 屏, 萍, 並, 蘋, 顰, 瀕",14,,,,,,
120,boŋ,,陽去13,"篷, 蓬, 鳳, 埲",4,,,,,,
127,mi,,陽去13,"迷, 米, 謎, 糜, 彌, 靡, 眉, 媚, 尾, 未, 味, 綿, 棉, 免, 勉, 娩, 緬, 澠, 面, 眠, 麵, 魅, 麋, 沔, 冕, 嵋, 醚",27,,,,,,
129,mu,,陽去13,"魔, 磨, 摩, 模, 摹, 暮, 慕, 墓, 募, 牡, 蘑",11,,,,,,
131,ma,,陽去13,"馬, 罵, 埋, 買, 賣, 瑪",6,,,,,,
133,mo,,陽去13,"魔, 磨, 摩, 麻, 馬, 碼, 罵, 模, 摹, 暮, 慕, 墓, 募, 幕, 蘑, 螞, 瑪",17,,,,,,
135,mɔ,,陽去13,"毛, 冒, 帽, 茅, 貓, 錨, 卯, 貌, 茂, 貿, 矛, 鉚, 犛, 髦, 瑁, 懋, 耄, 蝥, 泖",19,,,,,,
137,miɔ,,陽去13,"苗, 描, 藐, 渺, 秒, 廟, 妙, 謬, 繆, 瞄, 眇",11,,,,,,
138,mɤ,,陽去13,"某, 畝, 牡, 茂, 貿, 謀, 矛, 眸, 牟, 侔",10,,,,,,
139,miɤ,,陽去13,謬,1,,,,,,
141,me,,陽去13,"邁, 謎, 梅, 枚, 媒, 煤, 每, 妹, 昧, 楣, 黴, 媚, 寐, 蠻, 慢, 漫, 玩, 頑, 晚, 萬, 蔓, 玫, 霾, 謾, 莓, 酶, 魅, 嵋, 袂",29,,,,,,
142,mø,,陽去13,"瞞, 饅, 滿, 鰻",4,,,,,,
143,mã,,陽去13,"猛, 孟, 蜢, 錳, 稝",5,,,,,,
144,mɑ̃,,陽去13,"忙, 芒, 茫, 莽, 蟒, 亡, 網, 忘, 妄, 望, 盲, 虻, 懵, 夢, 氓, 罔, 魍, 硭, 䈍",19,,,,,,
147,məŋ,,陽去13,"門, 蚊, 聞, 問, 萌, 盟, 捫, 懣",8,,,,,,
149,miŋ,,陽去13,"閩, 民, 憫, 敏, 明, 皿, 命, 名, 銘, 岷, 閔, 冥, 溟, 瞑, 茗, 酩, 泯, 暝, 瑉",19,,,,,,
151,moŋ,,陽去13,"蒙, 懵, 蠓, 夢, 檬, 朦, 濛",7,,,,,,
172,vi,,陽去13,"維, 惟, 唯, 肥, 微, 尾, 費, 未, 味, 薇, 帷, 淝, 濰, 腓",14,,,,,,
173,vu,,陽去13,"符, 扶, 芙, 撫, 父, 腐, 輔, 附, 浮, 婦, 負, 阜, 伏, 駙, 蜉, 苻, 拊, 桴",18,,,,,,
174,viɔ,,陽去13,覅,1,,,,,,
175,vɤ,,陽去13,"浮, 負, 阜, 蜉, 桴",5,,,,,,
176,ve,,陽去13,"凡, 帆, 范, 範, 犯, 藩, 煩, 礬, 繁, 飯, 萬, 梵, 蕃, 樊",14,,,,,,
177,vɑ̃,,陽去13,"房, 防",2,,,,,,
178,vəŋ,,陽去13,"焚, 墳, 文, 紋, 蚊, 聞, 憤, 忿, 吻, 刎, 份, 問, 雯, 紊",14,,,,,,
179,voŋ,,陽去13,"馮, 鳳, 逢, 縫, 奉, 俸",6,,,,,,
242,di,,陽去13,"堤, 題, 提, 蹄, 啼, 弟, 第, 遞, 隸, 地, 甜, 田, 塡, 電, 殿, 奠, 佃, 墊, 逮, 滇, 甸, 澱, 靛, 恬, 棣, 醍, 闐, 娣, 鈿, 㼭, 湉",31,,,,,,
243,du,,陽去13,"駝, 馱, 舵, 大, 惰, 徒, 屠, 途, 塗, 圖, 肚, 杜, 度, 渡, 鍍, 坨, 陀, 墮, 荼, 佗, 沱, 砣, 鴕, 跎",24,,,,,,
244,da,,陽去13,"大, 汏, 埭, 䈆",4,,,,,,
245,dɔ,,陽去13,"掏, 桃, 逃, 淘, 陶, 萄, 濤, 道, 稻, 盜, 導, 蹈, 悼, 燾, 咷",15,,,,,,
246,diɔ,,陽去13,"條, 調, 掉, 苕, 笤, 迢",6,,,,,,
247,dɤ,,陽去13,"頭, 投, 豆, 逗, 讀, 痘, 骰, 竇",8,,,,,,
248,de,,陽去13,"臺, 苔, 抬, 待, 怠, 殆, 貸, 代, 袋, 隊, 兌, 潭, 譚, 談, 痰, 淡, 檀, 壇, 彈, 但, 蛋, 逮, 頹, 憚, 氮, 曇, 覃, 岱, 黛, 啖, 玳, 罈, 紿",33,,,,,,
249,dø,,陽去13,"團, 糰, 斷, 段, 緞, 摶, 萏, 篿",8,,,,,,
250,dɑ̃,,陽去13,"堂, 棠, 螳, 唐, 糖, 塘, 蕩, 宕, 搪, 碭, 膛, 儻, 溏, 樘, 婸, 趤",16,,,,,,
251,dəŋ,,陽去13,"屯, 豚, 飩, 臀, 囤, 沌, 盾, 鈍, 遁, 騰, 藤, 疼, 鄧, 滕, 賸",15,,,,,,
252,diŋ,,陽去13,"亭, 停, 廷, 庭, 蜓, 錠, 定, 婷, 霆",9,,,,,,
253,doŋ,,陽去13,"同, 銅, 桐, 筒, 童, 瞳, 桶, 動, 洞, 彤, 恫, 慟, 侗, 潼, 僮, 烔",16,,,,,,
259,nu,,陽去13,"糯, 奴, 努, 怒, 駑, 弩, 孥",7,,,,,,
261,na,,陽去13,"挪, 哪, 拿, 奶, 艿, 倷",6,,,,,,
263,no,,陽去13,"挪, 哪, 拿",3,,,,,,
264,nɔ,,陽去13,"腦, 惱, 鬧, 淖, 瑙",5,,,,,,
266,ne,,陽去13,"乃, 耐, 奈, 奶, 內, 難, 餒, 鼐",8,,,,,,
268,nø,,陽去13,"南, 男, 暖, 喃, 楠, 囡",6,,,,,,
269,nɑ̃,,陽去13,"囊, 曩, 瓤, 攘",4,,,,,,
270,nəŋ,,陽去13,"嫩, 能",2,,,,,,
272,noŋ,,陽去13,"齈, 弄, 農, 膿, 儂",5,,,,,,
276,li,,陽去13,"例, 厲, 勵, 犁, 黎, 禮, 麗, 離, 籬, 璃, 梨, 利, 痢, 釐, 狸, 李, 里, 裏, 理, 鯉, 吏, 淚, 廉, 鐮, 簾, 斂, 殮, 臉, 連, 聯, 憐, 蓮, 練, 鍊, 楝, 戀, 娌, 蜊, 藜, 鏈, 鰱, 奩, 莉, 漓, 俐, 漣, 喱, 儷, 驪, 鸝, 俚, 澧, 醴, 蒞, 詈, 蠡, 褳, 戾, 礪, 謰, 鱺",61,,,,,,
278,lu,,陽去13,"羅, 鑼, 籮, 騾, 螺, 腡, 裸, 盧, 爐, 蘆, 魯, 櫓, 虜, 滷, 路, 賂, 露, 鷺, 廬, 驢, 如, 汝, 儒, 乳, 卵, 蘿, 顱, 擄, 邏, 茹, 孺, 蠕, 濡, 瀘, 轤, 潞, 鱸, 璐, 玀",39,,,,,,
279,ly,,陽去13,"驢, 呂, 旅, 慮, 濾, 縷, 屢, 履, 鋁, 閭, 侶, 櫚, 膂",13,,,,,,
281,la,,陽去13,"賴, 癩, 攋, 喇, 垃, 籟, 瀨",7,,,,,,
283,lɔ,,陽去13,"勞, 牢, 老, 澇, 癆, 佬, 姥, 醪, 栳, 憦",10,,,,,,
285,liɔ,,陽去13,"燎, 療, 聊, 遼, 撩, 寥, 了, 瞭, 料, 廖, 鐐, 僚, 潦, 繚, 獠, 蓼, 䩍",17,,,,,,
286,lɤ,,陽去13,"樓, 摟, 耬, 簍, 漏, 陋, 揉, 婁, 髏, 蹂, 僂, 螻, 鏤, 瘺, 謱",15,,,,,,
288,liɤ,,陽去13,"流, 劉, 留, 榴, 硫, 琉, 柳, 餾, 綹, 瘤, 瀏",11,,,,,,
289,le,,陽去13,"來, 賴, 雷, 儡, 累, 壘, 類, 藍, 籃, 覽, 攬, 欖, 濫, 纜, 蘭, 攔, 欄, 懶, 爛, 檻, 擂, 萊, 嵐, 婪, 闌, 瀾, 磊, 蕾, 鐳, 耒, 籟, 讕, 斕, 睞, 賚, 瀨, 誄",37,,,,,,
290,lø,,陽去13,"鸞, 卵, 亂, 鑾, 巒, 灤, 欒",7,,,,,,
291,lã,,陽去13,冷,1,,,,,,
292,liã,,陽去13,"二, 良, 涼, 量, 糧, 梁, 粱, 兩, 亮, 諒, 輛, 倆, 魎, 晾, 踉",15,,,,,,
294,lɑ̃,,陽去13,"郎, 廊, 狼, 朗, 浪, 㫰, 螂, 榔, 琅, 鋃",10,,,,,,
296,ləŋ,,陽去13,"刃, 論, 崙, 倫, 淪, 輪, 稜, 圇, 綸, 埨",10,,,,,,
298,liŋ,,陽去13,"林, 淋, 臨, 檁, 鄰, 鱗, 燐, 吝, 陵, 凌, 菱, 領, 嶺, 令, 靈, 零, 鈴, 伶, 翎, 另, 欞, 齡, 粼, 稜, 琳, 霖, 麟, 凜, 廩, 懍, 藺, 躪, 苓, 囹, 玲, 聆, 綾, 蛉, 羚, 瓴, 繗, 泠, 鴒",43,,,,,,
300,loŋ,,陽去13,"籠, 聾, 攏, 弄, 隆, 龍, 隴, 嚨, 窿, 壟, 瓏, 朧, 礱",13,,,,,,
387,zɿ,,陽去13,"除, 儲, 苎, 箸, 鋤, 署, 薯, 如, 汝, 廚, 柱, 住, 雛, 殊, 豎, 樹, 儒, 乳, 滯, 誓, 逝, 池, 馳, 匙, 是, 氏, 豉, 瓷, 餈, 自, 遲, 稚, 示, 視, 嗜, 慈, 磁, 辭, 詞, 祠, 似, 祀, 巳, 字, 伺, 寺, 嗣, 飼, 持, 痔, 治, 士, 仕, 柿, 事, 時, 鰣, 市, 恃, 侍, 弛, 櫥, 躇, 茹, 孺, 蠕, 曙, 墅, 仔, 濡, 諡, 峙, 貯, 蒔, 伫",75,,,,,,
388,zu,,陽去13,"坐, 座, 鋤, 助, 䠡",5,,,,,,
389,za,,陽去13,"惹, 豺, 柴",3,,,,,,
390,zia,,陽去13,"邪, 斜, 謝, 榭",4,,,,,,
391,zo,,陽去13,"茶, 搽, 查, 乍, 蛇, 佘, 社, 射, 麝, 昨",10,,,,,,
392,zɔ,,陽去13,"曹, 槽, 皂, 造, 巢, 朝, 潮, 趙, 兆, 召, 韶, 紹, 邵, 饒, 擾, 肇, 嘈, 嘲, 晁, 漕",20,,,,,,
393,zɤ,,陽去13,"綢, 稠, 籌, 紂, 宙, 愁, 驟, 仇, 酬, 受, 壽, 授, 售, 柔, 揉, 疇, 躊, 蹂, 綬, 儔, 胄",21,,,,,,
394,ze,,陽去13,"才, 材, 財, 裁, 纔, 在, 豺, 寨, 罪, 慚, 暫, 站, 賺, 讒, 饞, 殘, 灒, 綻, 棧, 涎, 哉, 湛, 髯, 儕, 巉",25,,,,,,
395,zø,,陽去13,"罪, 芮, 銳, 隨, 髓, 垂, 睡, 瑞, 蘂, 遂, 隧, 穗, 槌, 錘, 墜, 誰, 蠶, 蟾, 染, 冉, 單, 纏, 蟬, 禪, 善, 然, 燃, 膳, 撰, 傳, 椽, 篆, 船, 篅, 鱔, 悴, 擅, 贍, 隋, 饌, 椎, 嬋, 陲, 繕, 嬗",45,,,,,,
396,zã,,陽去13,"藏, 長, 腸, 場, 丈, 仗, 杖, 常, 剩, 鋥, 䂻, 盛, 嫦",13,,,,,,
397,zɑ̃,,陽去13,"藏, 臟, 牀, 嘗, 裳, 償, 上, 壯, 狀, 尚, 撞, 緔, 幢",13,,,,,,
398,zəŋ,,陽去13,"沉, 岑, 葚, 甚, 壬, 任, 紝, 陳, 塵, 陣, 神, 娠, 辰, 晨, 臣, 腎, 愼, 人, 仁, 忍, 刃, 認, 韌, 存, 唇, 純, 蒓, 醇, 順, 潤, 閏, 澄, 曾, 層, 贈, 懲, 橙, 乘, 繩, 承, 丞, 剩, 仍, 呈, 程, 鄭, 成, 城, 誠, 盛, 盛, 鶉, 蜃, 淳, 荏, 仞, 飪, 妊, 呻, 吮, 忱, 涔, 諶, 衽, 嵊",65,,,,,,
399,zoŋ,,陽去13,"叢, 蟲, 仲, 崇, 戎, 從, 誦, 頌, 訟, 重, 茸",11,,,,,,
447,ʥyŋ,,陽去13,"羣, 裙, 郡",3,,,,,,
448,ʥi,,陽去13,"奇, 騎, 岐, 技, 妓, 祁, 鰭, 其, 棋, 期, 旗, 忌, 祈, 鉗, 儉, 乾, 虔, 掮, 件, 鍵, 健, 腱, 淇, 歧, 伎, 崎, 琪, 琦, 祺, 黔, 畸, 麒, 耆, 芪, 祇, 頎, 蜞, 猗, 揵, 萁, 錡",41,,,,,,
449,ʥy,,陽去13,"渠, 巨, 拒, 距, 俱, 瞿, 具, 懼, 跪, 櫃, 炬, 颶, 馗, 衢, 遽, 蕖",16,,,,,,
450,ʥia,,陽去13,茄,1,,,,,,
451,ʥiɔ,,陽去13,"瞧, 喬, 僑, 橋, 蕎, 轎, 翹, 撟",8,,,,,,
452,ʥiɤ,,陽去13,"囚, 泅, 仇, 求, 球, 臼, 舅, 咎, 舊, 柩, 裘, 桕, 虬",13,,,,,,
453,ʥyø,,陽去13,"圈, 拳, 權, 顴, 倦, 踡, 蜷, 鬈, 綣, 䟒, 䠰",11,,,,,,
454,ʥiã,,陽去13,強,1,,,,,,
455,ʥiŋ,,陽去13,"琴, 禽, 擒, 僅, 勤, 芹, 近, 擎, 鯨, 競, 覲, 噤, 痙, 黥, 檠, 凚",16,,,,,,
456,ʥioŋ,,陽去13,"羣, 裙, 郡, 瓊, 窮, 穹",6,,,,,,
461,ȵi,,陽去13,"泥, 藝, 倪, 兒, 宜, 儀, 蟻, 誼, 義, 議, 尼, 膩, 二, 貳, 耳, 疑, 擬, 毅, 尾, 染, 驗, 閻, 嚴, 儼, 釅, 念, 年, 研, 硯, 呢, 霓, 詣, 妮, 囈, 伲",35,,,,,,
462,ȵy,,陽去13,"女, 語, 御, 禦, 虞, 娛, 寓, 馭, 隅, 圄",10,,,,,,
464,ȵiɔ,,陽去13,"鐃, 撓, 饒, 橈, 擾, 繞, 堯, 嬲, 蟯",9,,,,,,
466,ȵiɤ,,陽去13,"紐, 牛, 鈕",3,,,,,,
467,ȵie,,陽去13,"念, 廿, 罱",3,,,,,,
468,ȵyø,,陽去13,"軟, 元, 原, 源, 阮, 願, 遠, 黿",8,,,,,,
471,ȵiã,,陽去13,"娘, 壤, 嚷, 仰, 釀, 讓",6,,,,,,
472,ȵiŋ,,陽去13,"壬, 任, 吟, 賃, 齦, 人, 仁, 忍, 認, 韌, 銀, 閏, 仍, 凝, 迎, 寧, 佞, 濘, 仞, 妊, 垠, 檸, 嚀, 獰, 衽, 鄞, 狺",27,,,,,,
473,ȵioŋ,,陽去13,"戎, 絨, 濃, 茸, 冗, 醲",6,,,,,,
500,ʑyŋ,,陽去13,"旬, 循, 巡, 徇",4,,,,,,
501,ʑi,,陽去13,"徐, 齊, 臍, 薺, 潛, 漸, 錢, 踐, 賤, 餞, 羡, 前, 全, 泉, 旋, 痊, 漩, 璿, 蠐, 鱭",20,,,,,,
502,ʑy,,陽去13,"序, 敍, 緒, 聚",4,,,,,,
503,ʑiɔ,,陽去13,"巢, 樵, 剿, 憔, 譙, 繅, 㩭",7,,,,,,
504,ʑiɤ,,陽去13,"就, 袖, 酋, 遒, 鷲, 岫",6,,,,,,
505,ʑiã,,陽去13,"牆, 詳, 祥, 象, 像, 橡, 匠, 薔, 檣, 翔",10,,,,,,
506,ʑiŋ,,陽去13,"尋, 秦, 盡, 旬, 循, 巡, 情, 晴, 靜, 靖, 淨, 餳, 潯, 燼, 蕈",15,,,,,,
507,ʑioŋ,,陽去13,徇,1,,,,,,
581,ɡa,,陽去13,"茄, 解, 懈, 伽, 骱, 澥",6,,,,,,
582,ɡɔ,,陽去13,"攪, 搞, 骹",3,,,,,,
583,ɡɤ,,陽去13,"藕, 偶, 耦, 跔, 䊵",5,,,,,,
584,ɡe,,陽去13,隑,1,,,,,,
585,ɡue,,陽去13,"潰, 跪, 逵, 葵, 癸, 愧, 櫃, 環, 睽, 寰, 鬟, 馗, 摜, 夔, 揆",15,,,,,,
586,ɡɑ̃,,陽去13,戇,1,,,,,,
587,ɡuɑ̃,,陽去13,"狂, 逛, 誑",3,,,,,,
588,ɡoŋ,,陽去13,共,1,,,,,,
593,ŋu,,陽去13,"蛾, 鵝, 俄, 我, 餓, 訛, 臥, 吾, 梧, 誤, 悟, 互, 娥, 晤, 寤",15,,,,,,
595,ŋa,,陽去13,"牙, 芽, 衙, 砑, 捱, 外, 蚜",7,,,,,,
596,ŋo,,陽去13,"廈, 下, 夏, 瓦, 華, 華, 鏵, 划, 樺, 畫, 話, 嘩, 驊",13,,,,,,
597,ŋɔ,,陽去13,"熬, 傲, 咬, 遨, 嗷, 翱, 鏖, 敖, 鼇, 螯",10,,,,,,
598,ŋe,,陽去13,"呆, 礙, 艾, 巖, 銜, 眼, 顔, 癌, 皚",9,,,,,,
599,ŋø,,陽去13,岸,1,,,,,,
600,ŋã,,陽去13,硬,1,,,,,,
601,ŋɑ̃,,陽去13,昂,1,,,,,,
638,ɦyŋ,,陽去13,"勻, 允, 云, 雲, 韻, 運, 暈, 孕, 芸, 耘, 隕, 殞",12,,,,,,
640,ɦu,,陽去13,"河, 何, 荷, 賀, 和, 禾, 禍, 吳, 蜈, 伍, 午, 胡, 湖, 狐, 壺, 乎, 瓠, 鬍, 戶, 滬, 互, 護, 無, 巫, 撫, 腐, 武, 舞, 侮, 鵡, 傅, 務, 霧, 戊, 婦, 蝴, 糊, 弧, 瑚, 毋, 蕪, 鶩, 扈, 嫵, 醐, 騖",46,,,,,,
643,ɦy,,陽去13,"魚, 漁, 於, 余, 餘, 與, 譽, 預, 豫, 愚, 虞, 娛, 遇, 寓, 于, 盂, 榆, 逾, 愉, 雨, 宇, 禹, 羽, 愈, 芋, 喻, 裕, 圍, 緯, 俞, 輿, 予, 嶼, 諛, 瑜, 竽, 諭, 臾, 萸, 腴, 庾, 籲",42,,,,,,
644,ɦa,,陽去13,"也, 鞋",2,,,,,,
645,ɦia,,陽去13,"牙, 芽, 衙, 耶, 爺, 野, 夜, 涯, 崖, 蚜",10,,,,,,
646,ɦua,,陽去13,"華, 華, 鏵, 樺, 懷, 槐, 淮, 壞, 畫, 話, 驊",11,,,,,,
647,ɦɔ,,陽去13,"豪, 壕, 毫, 號, 浩, 嚎, 昊, 皓, 㩝, 顥, 濠",11,,,,,,
648,ɦiɔ,,陽去13,"咬, 校, 肴, 淆, 效, 搖, 謠, 窰, 姚, 舀, 耀, 鷂, 堯, 杳, 遙, 瑤, 爻, 徭, 曜",19,,,,,,
649,ɦɤ,,陽去13,"侯, 喉, 猴, 瘊, 後, 厚, 后, 候, 篌",9,,,,,,
650,ɦiɤ,,陽去13,"尤, 郵, 由, 油, 游, 猶, 有, 友, 酉, 莠, 誘, 又, 右, 祐, 柚, 鼬, 釉, 宥, 鈾, 魷, 囿, 蚰, 疣, 猷, 侑",25,,,,,,
651,ɦe,,陽去13,"孩, 亥, 害, 駭, 咸, 鹹, 陷, 餡, 銜, 閒, 限, 還, 嫻, 骸",14,,,,,,
652,ɦie,,陽去13,"也, 械, 懈, 閒, 限, 嫻",6,,,,,,
653,ɦue,,陽去13,"桅, 會, 會, 回, 茴, 匯, 繪, 懷, 惠, 慧, 衛, 危, 僞, 為, 位, 魏, 違, 圍, 偉, 葦, 緯, 胃, 謂, 蝟, 彙, 還, 患, 宦, 蛔, 徊, 豢, 彗, 巍, 韋, 渭, 蔚, 煒, 蕙, 幃, 韙, 迴, 闈, 瑋",43,,,,,,
654,ɦø,,陽去13,"含, 函, 撼, 憾, 寒, 韓, 旱, 汗, 銲, 翰, 涵, 邯, 捍, 悍, 頷, 瀚, 菡",17,,,,,,
655,ɦuø,,陽去13,"桓, 完, 丸, 玩, 換, 頑, 紈",7,,,,,,
656,ɦyø,,陽去13,"圓, 員, 緣, 院, 元, 袁, 轅, 園, 援, 遠, 玄, 懸, 縣, 眩, 垣, 泫, 爰, 鳶, 櫞",19,,,,,,
657,ɦã,,陽去13,"行, 杏, 桁",3,,,,,,
658,ɦiã,,陽去13,"羊, 洋, 烊, 楊, 陽, 揚, 瘍, 養, 癢, 樣, 佯, 恙, 氧, 漾, 煬, 蛘",16,,,,,,
659,ɦuã,,陽去13,橫,1,,,,,,
660,ɦɑ̃,,陽去13,"行, 航, 杭, 降, 項, 巷, 絎",7,,,,,,
661,ɦiɑ̃,,陽去13,旺,1,,,,,,
662,ɦuɑ̃,,陽去13,"黃, 簧, 皇, 蝗, 亡, 網, 忘, 妄, 望, 狂, 王, 旺, 蟥, 隍, 磺, 凰, 徨, 惶, 煌, 潢, 璜",21,,,,,,
663,ɦəŋ,,陽去13,"痕, 恨, 恆, 衡, 蘅",5,,,,,,
664,ɦiŋ,,陽去13,"淫, 寅, 引, 尹, 行, 幸, 盈, 贏, 形, 型, 刑, 螢, 營, 塋, 穎, 邢, 蚓, 胤, 熒, 瑩, 楹, 潁, 霪, 悻",24,,,,,,
665,ɦuəŋ,,陽去13,"魂, 餛, 渾, 混, 諢",5,,,,,,
666,ɦoŋ,,陽去13,"虹, 弘, 宏, 紅, 洪, 鴻, 泓",7,,,,,,
667,ɦioŋ,,陽去13,"勻, 允, 云, 雲, 韻, 運, 暈, 孕, 螢, 榮, 營, 塋, 熊, 雄, 融, 容, 蓉, 庸, 用, 傭, 溶, 熔, 榕, 熒, 瑩, 芸, 耘, 隕, 鏞, 慵",30,,,,,,
677,ɦəl,,陽去13,"兒, 爾, 二, 貳, 而, 耳, 餌, 邇, 洱, 珥",10,,,,,,
678,ɦm̍,,陽去13,"畝, 嘸",2,,,,,,
679,ɦŋ̍,,陽去13,"五, 伍, 午, 魚, 兒",5,,,,,,
,,,,,5719,,,,,,